idade,natureza,humanas,matematica,redacao,a,a
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,15,6400.0,7023.699999999999,7338.1,7919.399999999999,6993.2
0,12,4160.0,5063.3,5700.799999999999,5846.6,5465.3
0,84,31900.0,37162.69999999999,38500.200000000004,41646.500000000015,37631.40000000001
0,1064,472160.0,496336.3000000005,527052.3999999997,556020.7999999996,494311.00000000023
0,19840,9017989.0,9260389.199999994,9896995.900000026,10481534.600000072,9303831.400000034
0,170515,80009239.0,80943770.99999999,86275591.0000001,91355091.99999946,81261293.0000008
0,503682,247597792.0,244020714.59999633,258787206.09999347,274876626.30000633,244818521.99999398
0,994058,501069726.0,485662523.79999983,513899427.89999944,547764344.6999882,488694332.50001425
0,851207,418849083.0,410513705.30001193,435462458.6000088,466454110.7000109,415822733.2999973
0,585031,278769256.0,278344740.19999886,296105028.8000024,318466949.89999723,282761731.3999975
0,426389,199494401.0,201426165.49999863,215042264.400004,231838393.10000417,204979909.79999915
0,323184,150019917.0,151930939.50000513,163093478.39999908,175964563.10000128,154816256.29999694
0,250560,116218021.0,117736424.40000089,126774080.70000362,136954190.10000053,120151435.69999982
0,206396,96020426.0,97053926.00000179,104742961.29999994,113405294.99999832,99218899.99999972
0,169142,78629558.0,79306354.20000027,85940273.39999896,93210819.80000082,81363293.60000037
0,150707,69759431.0,70440328.09999987,76550607.00000072,83191486.09999909,72515312.39999993
0,132525,61174737.0,61738181.8000003,67337994.89999974,73279492.39999945,63730455.5000003
0,114001,52335892.0,52930814.40000029,57873614.20000012,63064418.20000019,54797844.20000007
0,101803,46272101.0,47124259.80000003,51600946.90000006,56330933.299999095,48920384.60000021
0,90638,40940431.0,41830249.400000796,45809789.10000007,50117260.100000456,43519271.09999964
0,78880,35264474.0,36208696.100000426,39791046.100000136,43571790.60000012,37826792.80000052
0,72613,32226933.0,33252820.399999905,36557903.50000016,40095731.50000009,34755874.5999999
0,69014,30267421.0,31457975.699999668,34630638.00000033,38036868.89999999,32968459.500000097
0,63168,27481890.0,28700345.999999862,31585435.399999976,34786317.80000006,30142552.49999983
0,55022,23655555.0,24873679.400000058,27430455.799999826,30217381.900000136,26212517.99999979
0,50823,21624832.0,22865289.99999985,25216568.499999844,27830731.299999855,24132190.299999956
0,45483,19262782.0,20426666.200000066,22530745.099999994,24900628.099999856,21552565.399999816
0,42197,17762418.0,18850458.99999989,20882593.700000037,23110402.899999782,19990158.899999976
0,38789,16156535.0,17278830.900000058,19114556.200000074,21211956.899999894,18333796.199999902
0,34929,14447973.0,15522149.6999998,17183175.70000006,19091965.49999994,16506129.99999993
0,32667,13423053.0,14516555.300000058,16068668.700000053,17830754.50000015,15425951.900000086
0,29199,11949674.0,12968914.60000003,14337569.500000011,15949524.200000104,13767724.100000007
0,27475,11278689.0,12183720.799999986,13510512.100000083,15026047.099999972,12969700.799999984
0,25340,10375944.0,11185069.400000012,12432125.200000003,13818639.199999947,11948818.100000001
0,22821,9264356.0,10061816.300000044,11187907.100000005,12447026.999999939,10738425.599999968
0,21150,8495968.0,9305375.299999978,10348543.899999898,11534202.59999997,9952189.000000026
0,19364,7824866.0,8527419.499999989,9494328.700000007,10575632.700000009,9128213.199999975
0,17557,7075459.0,7745053.699999991,8609624.900000004,9603141.600000026,8290516.499999988
0,16086,6444827.0,7063194.3,7882830.399999989,8776349.099999996,7568466.799999999
0,15036,6046985.0,6624749.499999997,7383855.000000013,8244218.500000006,7088941.3999999855
0,12760,5120865.0,5631741.199999982,6250977.499999989,6985626.199999974,6017589.900000035
0,11250,4499887.0,4950085.999999991,5514500.399999985,6172191.500000003,5295439.2
0,9485,3748203.0,4147584.800000003,4629965.6999999955,5189399.400000004,4460135.299999999
0,8030,3176113.0,3519727.1000000034,3926745.89999999,4386245.700000008,3768982.7000000034
0,6984,2719840.0,3052243.899999999,3398133.499999999,3810275.499999989,3267432.899999998
0,5873,2256962.0,2558555.3000000026,2843127.799999998,3185305.399999996,2743959.1999999997
0,4821,1845632.0,2098831.9000000022,2325662.200000005,2617887.5999999945,2249216.2000000007
0,4303,1614777.0,1872289.6000000024,2066908.0999999999,2326077.900000009,2005501.5999999992
0,3355,1269592.0,1463282.400000001,1610745.399999999,1816141.9000000018,1567153.0999999978
0,2787,1037404.0,1204503.6000000013,1328686.7000000023,1503746.5000000014,1293813.000000001
0,2147,788769.0,927912.500000001,1021012.5999999995,1152218.900000001,999179.9999999998
0,1649,598054.0,718534.7999999991,780901.4999999997,885588.4999999985,764007.1
0,1339,482791.0,578517.6000000002,634278.6999999997,716054.9999999988,622839.0999999987
0,999,371325.0,430995.2000000002,469298.8999999993,539066.3,463892.6000000002
0,825,308294.0,352447.20000000007,389692.6999999999,442939.7000000001,381608.1000000001
0,616,226904.0,264956.5,289155.69999999995,328737.7000000001,284647.3999999999
0,497,175814.0,209999.10000000006,230990.60000000015,263768.6000000002,225628.09999999986
0,364,134085.0,160450.4,173641.59999999998,198687.50000000015,169907.1
0,283,103870.0,119782.49999999994,131792.79999999993,151076.69999999992,129867.30000000002
0,212,71026.0,90021.59999999998,98698.89999999992,112638.20000000008,98026.59999999998
0,168,53860.0,70271.60000000002,75998.20000000001,86841.39999999998,76782.60000000002
0,121,41620.0,49817.59999999999,54533.200000000026,61907.7,52529.5
0,102,33310.0,43236.60000000001,46460.900000000016,53554.700000000004,46823.09999999998
0,87,27280.0,36385.80000000001,39209.0,45786.599999999984,39509.29999999998
0,54,17020.0,22633.900000000005,24232.799999999996,28547.999999999985,24504.3
0,42,10820.0,16672.499999999996,18619.4,21014.0,18442.699999999997
0,34,10560.0,13985.500000000004,15263.800000000003,17177.2,15603.0
0,22,7060.0,9100.800000000003,9423.2,11243.000000000002,9659.1
0,19,4460.0,7526.1,8507.999999999998,9841.6,8419.199999999999
0,14,6072.0,5919.799999999999,6311.1,7622.499999999999,6126.900000000001
0,9,2040.0,3504.5,3818.6000000000004,4214.8,3760.7
0,8,3180.0,3624.2,3637.0,3988.1,3559.399999999999
0,5,1900.0,1982.2000000000003,2222.7000000000003,2554.3,2125.1
0,3,1076.0,1496.5,1415.9,1647.4,1361.1999999999998
0,1,0.0,556.3,382.4,442.4,378.7
0,1,0.0,326.6,382.7,337.3,348.0
0,3,580.0,1299.3,1322.1999999999998,1533.1,1263.3000000000002
0,1,450.0,647.1,536.3,671.6,666.8
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,1080.0,869.5999999999999,1013.4000000000001,1026.5,857.8
0,0,0,0,0,0,0
0,1,320.0,390.6,453.6,576.6,518.5
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,680.0,553.9,612.9,607.8,527.7
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
